Item,P5531,P3377,P2088,P856
Q17108585,0001536281,0213964D:US,bloomfire,https://bloomfire.com/
Q84564030,0001738177,,cambium-networks,https://www.cambiumnetworks.com/
Q2749075,0001480387,0131154Z:CN,hootsuite,https://www.hootsuite.com/
Q6766381,0001295660,348657Z:US,marklogic-corporation,https://www.marklogic.com/
Q18358598,0001484639,0354724D:US,signpost,https://www.signpost.com/
Q30269426,,0163626D:US,advanced-dermatology-cosmetic-surgery,https://www.advancedderm.com/
Q386957,0001541121,,prezi,https://prezi.com/
Q5165534,0001657886,,cask,https://cdap.io/
Q30282721,,,upsight,http://www.upsight.com/
Q255381,0001506293,PINS:US,pinterest,https://www.pinterest.com/
Q30268799,0001328143,ADMS:US,adamas-pharmaceuticals,https://www.adamaspharma.com/
Q17050559,0001837430,0749904D:IT,ironsource,https://www.is.com/?referrer=ironsrc.com
Q780442,0001543151,UBER:US,uber,https://www.uber.com/
Q766546,,,udacity,https://www.udacity.com/
Q7975268,0001560740,,wave-financial,https://www.waveapps.com/
Q97498243,0001522540,0611043D:IT,marqeta,https://www.marqeta.com/
Q15070371,,,jackbox-games,https://www.jackboxgames.com/
Q17085620,0001836833,0862083D:US,planet-labs,https://www.planet.com/
Q28170044,,0200330D:IN,billdesk,https://www.billdesk.com/web/
Q4305253,,0571898D:US,tunein-inc,https://tunein.com/
Q12314937,,8969382Z:SM,haarslev-industries,https://haarslev.com/
Q7021239,0001597925,,nextdoor,https://nextdoor.com/
Q16988840,0001555455,0605053D:US,crossbar,https://www.crossbar-inc.com/
Q17137639,0001547969,,nationbuilder,https://nationbuilder.com/
Q1156357,,0056414D:GR,dawanda,https://www.etsy.com
Q229680,,,zumba-fitness,https://www.zumba.com/en-US
Q47130436,0001793444,0622814D:US,homelight,https://www.homelight.com/
Q7302875,0001722280,,recorded-future,https://www.recordedfuture.com/
Q18385610,0001576942,,stitch-fix,https://www.stitchfix.com/
Q6746938,,,manappuram-finance-ltd,https://www.manappuram.com/
Q16627838,0001538827,8392043Z:US,code-42-software,https://www.code42.com/
Q1381966,,,flipkart,https://www.flipkart.com/
Q17136317,,,trifacta,https://www.trifacta.com/
Q11221981,0001532978,,gumroad,https://gumroad.com/
Q25048114,,,mixpanel,https://mixpanel.com/
Q106760435,0001640455,JNCE:US,jounce-therapeutics,https://jouncetx.com/
Q65071572,,,vayyar,https://vayyar.com/
Q17081568,0001366558,,mocana,
Q18351049,0001585867,,deliv,http://deliv.co/
Q5152058,0001169561,1253185D:US,hedvig,https://www.commvault.com/
Q104833980,,1531832D:US,arctic-wolf-networks,https://arcticwolf.com/
Q27150169,,0948444D:US,thoughtspot,https://www.thoughtspot.com/
Q27022329,0001564408,SNAP:US,snapchat,https://snap.com/en-US
Q59535686,,598175Z:LN,karus-therapeutics,https://karustherapeutics.com/
Q24900594,,0883317D:LN,depop,https://www.depop.com/
Q15823971,,1202511Z:LN,kobalt-music-group,https://www.kobaltmusic.com/
Q18150640,0001547955,8167146Z:US,fanatics,https://www.fanaticsinc.com/
Q104481408,0001838881,ALPIX:FP,pixium-vision,https://www.pixium-vision.com/
Q106411748,0001407973,,sonendo,https://sonendo.com/
Q36016326,0001558379,,chownow,https://get.chownow.com/
Q19768232,,,samanage,https://www.solarwinds.com/service-desk
Q7237353,,,practice-fusion,https://practicefusion.com/
Q18636415,,,tealium,https://tealium.com/
Q6024522,,0086583Z:US,indie-gogo,https://www.indiegogo.com/
Q104480107,,270035Z:US,breg-2,https://www.breg.com/
Q7268803,0001747748,,qualtrics,https://www.qualtrics.com/
Q2154085,,0365991Z:US,codecademy,https://www.codecademy.com/
Q30271892,,0852994D:CH,,
Q16159478,0001687221,,rev-group,https://www.revgroup.com/
Q5003490,0001828972,0264613Z:US,buzzfeed,https://www.buzzfeed.com/
Q18207628,0001597815,0617317D:US,handybook,https://www.handy.com/
Q7204886,0001474992,0084062D:US,plex-systems,https://www.plex.com/
Q55948312,0001660280,,tenable-network-security,https://www.tenable.com/
Q7968882,0001504776,0883074D:US,warby-parker,
Q28228440,0001523064,0094337Z:US,fullcontact,https://www.fullcontact.com/
Q64987516,0001745430,1667777D:US,,https://www.snappy.com/
Q30290653,0001604797,0565778D:US,modular-robotics,
Q85727745,0001600641,0518442D:US,1stdibs,https://www.1stdibs.com/
Q18348837,,1561319D:US,contentful,https://www.contentful.com/
Q17020720,0001532099,0604939D:US,social-finance-inc,https://socialfinance.org/
Q5270627,0001827373,,dialpad,https://www.dialpad.com
Q8074786,0001713683,,zscaler,https://www.zscaler.com
Q20707043,,,cooladata,https://www.cooladata.com/
Q18712167,0001565330,0622900D:US,coachup,https://www.coachup.com/
Q19881868,0001609292,,spothero,https://spothero.com/
Q17067960,,,lynda-com,https://www.linkedin.com/learning/?trk=lynda_redirect_learning
Q7638010,0001643269,SUMO:US,sumo-logic,https://www.sumologic.com/
Q65049338,0001546162,,qumulo,https://qumulo.com/
Q3419343,0001559716,,,https://genius.com/
Q16987719,0001460316,,itson,http://itsoninc.com/
Q16968488,0001478484,,zulily,https://www.zulily.com/
Q5970871,,,if-this-then-that,https://ifttt.com/
Q1142400,,0516931D:US,meltwater,https://www.meltwater.com/en
Q85801641,0001550430,0580757D:US,smartasset,https://smartasset.com/
Q17108555,0001564970,0387845D:US,bettercloud,https://www.bettercloud.com/
Q20113463,,0616848D:LN,secret-escapes,https://www.secretescapes.com/
Q13512460,,,socialbakers,https://www.socialbakers.com/
Q7848226,,0053484D:DC,trustpilot,https://www.trustpilot.com/
Q16839994,,0676382D:US,getyourguide,https://www.getyourguide.com/
Q16243754,0001478699,8270592Z:US,betabrand,https://www.betabrand.com/
Q107418797,0001565113,0943978D:US,jumpcloud,https://jumpcloud.com/
Q6423237,,0628336D:CN,the-knowland-group,https://www.knowland.com/
Q30268897,0001610618,CDTX:US,cidara-therapeutics,https://www.cidara.com/
Q20539296,0001585468,,creativemarket,https://creativemarket.com/
Q19757566,0001725579,PS:US,pluralsight,https://www.pluralsight.com/
Q7821002,0001473229,,tongal,https://tongal.com
Q7877165,0001607939,0288020Z:US,udemy,https://www.udemy.com/
Q3415301,0001470093,,janrain,
Q16985286,0001866757,1542381D:US,brilliant-earth,https://www.brilliantearth.com/
Q22077806,0001625264,0604952D:US,yourmechanic,https://www.yourmechanic.com/
Q18154925,0001559980,,pica8,https://www.pica8.com/
Q48965608,0001566967,,keyme,https://key.me/
Q18636510,0001517698,,coravin,https://www.coravin.com/
Q85866624,0001570627,,omio,https://www.omio.com/
Q106411861,0001556814,,xenex-disinfection-services,https://xenex.com/
Q16927863,,0125249D:US,timehop,https://www.timehop.com/
Q24204297,0001568651,OSCR:US,oscar,https://www.hioscar.com/
Q104841020,0001344747,3327820Z:US,clarabridge,https://www.clarabridge.com/
Q19881127,0001567658,0852817D:US,illumio,https://www.illumio.com/
Q16927887,0001573427,0861925D:US,,
Q21177770,0001874097,1235440D:US,cyngn,https://cyngn.com/
Q4697698,,,airwatch,https://www.air-watch.com/
Q17087663,,0742210D:US,tuition-io,https://www.tuition.io/
Q6784006,0001519482,,spredfast,https://khoros.com/
Q22074922,0001707753,,elasticsearch,https://www.elastic.co/
Q18394708,0001524566,0276674D:US,wealthfront,https://www.wealthfront.com/
Q18168341,0001826018,0253836D:US,rover-com,https://www.rover.com/
Q2607531,0001022288,,harmonix-music-systems,http://harmonixmusic.com/
Q13884156,,9868129Z:US,strava,https://www.strava.com/
Q16950841,0001471827,,sparefoot,https://www.sparefoot.com/
Q30271725,0001543809,0226114D:US,learnzillion,https://learnzillion.com/p/
Q2299611,0001345016,,yelp,https://www.yelp.com/
Q13645977,,0582499D:US,classdojo,https://www.classdojo.com/
Q56274731,0001628916,,datto,https://www.datto.com/
Q4798119,0001866651,1113274D:US,rstudio,https://www.rstudio.com/
Q96392042,0001816613,1141799D:US,mark-forged,https://markforged.com/
Q106411694,0000880771,,sciclone-pharmaceuticals,http://sciclone.com/
Q22670946,,0861602D:US,behalf,https://www.behalf.com/
Q30644769,0001525760,,kenandy,https://www.kenandy.com/
Q17082991,,0877248D:US,netskope,https://www.netskope.com/
Q7858039,0001447669,TWLO:US,twilio,https://www.twilio.com/
Q213660,0001271024,,linkedin,https://www.linkedin.com/
Q96186334,0001579878,1349863D:US,figma,https://www.figma.com/
Q55611365,0001846576,,figs,https://www.wearfigs.com/
Q17077936,0001759509,,lyft,https://www.lyft.com/
Q5318305,0001541252,0165619D:US,dwolla,https://www.dwolla.com/
Q24197365,0001580211,0313861D:US,pindrop-security,https://www.pindrop.com/
Q23671247,0001372739,,harrys,https://www.harrys.com/en/us
Q17510562,0001578683,,fiftythree,https://fiftythree.com/
Q7553096,0001578775,,socrata,https://www.tylertech.com/products/socrata
Q96371442,0001602387,,acompli-inc,https://outlook.live.com/owa/
Q22906283,0001527109,,lastline,https://www.lastline.com/
Q18216788,,,chairish,https://www.chairish.com/
Q30268911,0001647320,,clementia-pharmaceuticals,https://www.ipsen.com/
Q30268888,0001117480,,chimerix,https://www.chimerix.com/
Q29097725,,,acuant,https://www.acuant.com/
Q17182538,0001395418,,alterg,https://www.alterg.com/
Q106411854,0001640266,,voyager-therapeutics,https://www.voyagertherapeutics.com/
Q106411833,,2500:HK,venus-medtech-hangzhou-inc,
Q18349147,0001615148,0860214D:NA,3d-hubs,https://www.hubs.com/?host-redirect=3dhubs
Q17088880,,0629555D:DC,vivino,http://vivino.com/
Q24890758,0001535527,CRWD:US,crowdstrike,https://www.crowdstrike.com/
Q7942354,0001440746,0111262D:US,vox-media,https://corp.voxmedia.com
Q56274731,0001628916,,datto,https://www.datto.com/
Q6658161,0001568488,,livefyre,
Q18350420,0001587468,1023727D:US,databricks,https://databricks.com/
Q6664207,,,local-motion,
Q3975878,0000915735,,stratasys,https://www.stratasys.com/
Q103951085,0001585220,1233085D:US,bluevine,https://www.bluevine.com/
Q108106907,0001805649,1544716D:US,sourcegraph,https://sourcegraph.com/search
Q17019647,0001594109,,grubhub,https://www.grubhub.com/
Q30269188,0001685316,OBSV:US,obseva,https://www.obseva.com/?doing_wp_cron=1641742067.8486490249633789062500
Q20714775,0001558048,,looker,https://looker.com/
Q104480199,0001456304,,conventus-orthopaedics,https://www.conventusortho.com/
Q22907444,0001543061,1291359D:US,offerup,https://offerup.com/
Q7918048,,,veeam-software,https://www.veeam.com/
Q18636339,0001561997,0620896D:US,3d-robotics,https://www.3dr.com/
Q97486392,0001514586,0564173D:US,appdirect,https://www.appdirect.com/
Q18455557,,0850656D:JP,freee,https://www.freee.co.jp/
Q61934485,0001655759,ARVN:US,arvinas,https://www.arvinas.com/
Q30288559,0001651159,,rgenix,https://inspirna.com
Q30271885,,,temptime-corporation,
Q65091809,,1053075D:CH,unisound-beijing,https://www.unisound.com/
Q106411791,,3119625Z:US,tecomet,https://www.tecomet.com/
Q17086822,,1292173D:US,redis-labs,https://redis.com/
Q23818238,,0975825D:LN,citymapper-limited,https://citymapper.com/
Q7534755,0001593373,0917004D:US,sketchfab,https://sketchfab.com/
Q1849593,,0418491D:US,rossignol,https://www.rossignol.com/us/
Q3373800,,1058748D:CI,ewos,
Q73417264,,0943623D:US,kensho,https://kensho.com
Q22078088,0001643455,,wand-labs,
Q65085822,0001714052,AFRM:US,affirm,https://www.affirm.com/
Q6858766,0001372375,,millennial-media,https://www.adtech.yahooinc.com/
Q30292609,,1023868D:LN,vhsquared,http://www.vhsquared.com/
Q18395600,,0922618D:US,wyzant-com,https://www.wyzant.com/
Q16972754,0001679788,0776164D:US,coinbase,https://www.coinbase.com/
Q105273838,,,teespring,https://www.spri.ng
Q21189310,0001575033,DKNG:US,draftkings,http://draftkings.com/
Q30268754,,0700444D:LN,avillion,https://avillionllp.com/
Q19903819,0001728200,,wp-engine,https://wpengine.com/
Q7801350,,,tigertext,https://tigerconnect.com/
Q18155343,,0960862D:US,trusper,https://www.musely.com/
Q65080540,0001405682,,renewable-energy-group-71a4,https://www.regi.com/
Q5287613,0001261333,,docusign,https://www.docusign.com/
Q30288730,0000850261,,sorrento-therapeutics,https://sorrentotherapeutics.com/
Q851552,0001093693,,collabnet,https://www.collab.net/
Q4118540,,,rhythmone,https://www.rhythmone.com/
Q93363004,0001596252,1088028D:US,ledgerx,https://derivs.ftx.us/
Q55632076,,1251509D:US,rubrik,https://www.rubrik.com/
Q24906315,,0616765D:IN,oyo-rooms,https://www.oyorooms.com/
Q43082774,0001601723,0885838D:US,superpedestrian,https://www.superpedestrian.com/
Q20540697,0001639415,0629254D:US,gusto,http://gusto.com/
Q22909828,,0962126D:LN,worldremit,https://www.worldremit.com/en/us
Q5275937,0001582961,DOCN:US,digitalocean,https://www.digitalocean.com/
Q20155991,0001597587,,zenefits,https://www.zenefits.com/
Q28229301,0001529203,,grovo,https://www.grovo.com/
Q16954395,0001576159,0148709D:CN,builddirect,https://www.builddirect.com/
Q16001710,,,adallom,
Q108282612,,,,https://www.splitgate.com/
Q30269231,0001410939,ISEE:US,,https://ivericbio.com/
Q39055150,,1686349D:US,,https://codesignal.com/
Q27825826,,1920108D:US,,https://clickhouse.com/
Q16900213,,651330Z:US,,https://silkroadtechnology.com/
Q94653118,,,,https://axieinfinity.com/
Q46166265,,,,https://polkadot.network/
Q6806143,,0217816D:US,,https://www.mediaocean.com/
Q107519701,0001850119,IPSC:US,century-therapeutics,https://www.centurytx.com/
